grow_policy,max_depth,max_leaves,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,accuracy,auc,best_iteration,complexity
depthwise,6,0,0.005,10,0.8,0.8,0.1,2.0,0.6838714808334658,0.759151080174946,4395,6
depthwise,6,0,0.01,1,0.8,1.0,0.1,1.0,0.6837919516462542,0.7591089791389367,2481,6
depthwise,4,0,0.0025,1,1.0,1.0,0.0,2.0,0.6851439478288532,0.759106955050667,17315,4
depthwise,4,0,0.01,10,1.0,1.0,0.0,1.0,0.6844281851439479,0.7591039062677108,3928,4
depthwise,6,0,0.01,1,0.8,1.0,0.0,2.0,0.6843486559567361,0.7590954556991848,2484,6
depthwise,6,0,0.01,1,0.8,1.0,0.0,1.0,0.6843486559567361,0.7590944436550501,2647,6
lossguide,0,32,0.01,1,0.8,0.8,0.0,1.0,0.6836328932718307,0.7590804268437825,2663,32
depthwise,4,0,0.0025,10,1.0,1.0,0.1,1.0,0.6838714808334658,0.7590761889089679,16129,4
lossguide,0,32,0.005,10,0.8,0.8,0.1,1.0,0.6838714808334658,0.7590594522290879,4419,32
lossguide,0,32,0.005,5,0.8,0.8,0.0,2.0,0.6837124224590425,0.7590476872160205,4167,32
lossguide,0,32,0.01,10,0.8,1.0,0.0,2.0,0.6839510100206776,0.7590013102935413,2666,32
depthwise,6,0,0.0025,5,0.8,1.0,0.0,1.0,0.6829966597741371,0.7589699242748096,9320,6
depthwise,4,0,0.0025,10,1.0,1.0,0.1,2.0,0.6837124224590425,0.7589420171577914,15464,4
depthwise,4,0,0.0025,5,1.0,1.0,0.1,1.0,0.6838714808334658,0.7589030281574968,14880,4
depthwise,6,0,0.0025,1,0.8,0.8,0.1,1.0,0.6835533640846191,0.7588924143446326,8478,6
depthwise,6,0,0.0025,1,0.8,0.8,0.0,2.0,0.6833943057101957,0.758878524038882,8474,6
depthwise,4,0,0.005,10,1.0,1.0,0.1,2.0,0.6842691267695244,0.7588751716426854,7663,4
depthwise,6,0,0.0025,1,0.8,0.8,0.0,1.0,0.6835533640846191,0.7588721355102808,8536,6
depthwise,6,0,0.01,1,0.8,1.0,0.1,2.0,0.6832352473357722,0.7588426850259569,2484,6
lossguide,0,32,0.005,1,0.8,0.8,0.0,2.0,0.6845077143311595,0.7588395097374839,4495,32
lossguide,0,32,0.01,10,0.8,1.0,0.1,2.0,0.6833943057101957,0.7588364230028726,2654,32
depthwise,6,0,0.0025,1,0.8,1.0,0.1,1.0,0.6833943057101957,0.7588094267255757,8410,6
lossguide,0,32,0.005,1,0.8,0.8,0.1,1.0,0.6841895975823127,0.7588026207287688,4206,32
depthwise,6,0,0.005,10,0.8,1.0,0.1,1.0,0.6831557181485606,0.7587841382727565,4657,6
depthwise,6,0,0.01,5,0.8,1.0,0.1,1.0,0.6817241927787498,0.7587753587898868,2484,6
depthwise,6,0,0.01,1,1.0,0.8,0.0,2.0,0.6840305392078893,0.7587604817411044,3073,6
lossguide,0,32,0.0025,1,0.8,1.0,0.1,2.0,0.6825990138380785,0.7587524106891291,8755,32
depthwise,6,0,0.0025,10,0.8,1.0,0.1,2.0,0.6837124224590425,0.7587489570885191,8592,6
depthwise,6,0,0.0025,10,0.8,0.8,0.1,2.0,0.6835533640846191,0.7587142566252458,8251,6
depthwise,6,0,0.0025,10,0.8,1.0,0.0,2.0,0.6839510100206776,0.7587133963877312,8328,6
lossguide,0,32,0.01,5,0.8,1.0,0.1,2.0,0.684666772705583,0.7587042120872074,2647,32
depthwise,6,0,0.0025,1,0.8,1.0,0.0,1.0,0.6819627803403849,0.7586863874598826,8408,6
lossguide,0,32,0.01,1,0.8,0.8,0.0,2.0,0.6844281851439479,0.7586858687872635,2129,32
lossguide,0,32,0.005,10,0.8,1.0,0.1,2.0,0.6850644186416415,0.758669157408487,4369,32
lossguide,0,32,0.01,5,0.8,0.8,0.1,1.0,0.6845077143311595,0.7586643628493981,2137,32
lossguide,0,32,0.0025,1,0.8,1.0,0.0,2.0,0.6830761889613488,0.7586405292100227,8349,32
lossguide,0,32,0.01,1,0.8,1.0,0.0,1.0,0.6839510100206776,0.7586381382557541,2701,32
depthwise,4,0,0.005,1,1.0,0.8,0.1,2.0,0.6843486559567361,0.7586361647696911,6504,4
depthwise,6,0,0.0025,10,0.8,1.0,0.1,1.0,0.6839510100206776,0.7586220341034584,8413,6
depthwise,6,0,0.0025,5,0.8,1.0,0.0,2.0,0.6828376013997137,0.7586062335644032,8326,6
lossguide,0,32,0.01,1,0.8,1.0,0.1,1.0,0.6839510100206776,0.758587055328048,2700,32
depthwise,6,0,0.0025,5,0.8,1.0,0.1,2.0,0.6831557181485606,0.7585622981983995,8327,6
lossguide,0,32,0.005,10,0.8,1.0,0.0,2.0,0.6849848894544298,0.7585582626724119,4110,32
lossguide,0,32,0.01,1,1.0,0.8,0.1,2.0,0.6831557181485606,0.7585453211580376,2348,32
depthwise,6,0,0.0025,10,0.8,1.0,0.0,1.0,0.6837124224590425,0.7585419940629442,8074,6
lossguide,0,32,0.005,10,0.8,1.0,0.0,1.0,0.6848258310800064,0.7585252826841677,4438,32
lossguide,0,32,0.005,10,1.0,0.8,0.1,2.0,0.6832352473357722,0.75852462485548,4322,32
depthwise,6,0,0.0025,5,0.8,1.0,0.1,1.0,0.6822808970892318,0.7585195013820475,8320,6
lossguide,0,32,0.0025,1,0.8,1.0,0.0,1.0,0.6835533640846191,0.7585193369248755,8752,32
lossguide,0,32,0.005,5,0.8,1.0,0.1,2.0,0.6837124224590425,0.7585030430143047,4154,32
depthwise,4,0,0.005,1,0.8,1.0,0.0,1.0,0.6838714808334658,0.7584987418267315,5473,4
lossguide,0,32,0.01,10,0.8,1.0,0.0,1.0,0.684110068395101,0.758486736453182,2341,32
lossguide,0,32,0.01,5,0.8,0.8,0.0,1.0,0.6829966597741371,0.7584596010198166,2174,32
depthwise,4,0,0.0025,1,1.0,1.0,0.0,1.0,0.6853030062032766,0.7584446860193794,14146,4
lossguide,0,32,0.005,1,0.8,1.0,0.1,2.0,0.6828376013997137,0.7584199921424893,4372,32
lossguide,0,32,0.005,10,0.8,1.0,0.1,1.0,0.6849848894544298,0.7584190433511129,4371,32
lossguide,0,32,0.01,10,0.8,1.0,0.1,1.0,0.6843486559567361,0.7584181325113916,2206,32
lossguide,0,32,0.005,10,0.8,0.8,0.0,1.0,0.6841895975823127,0.758402471128405,3495,32
depthwise,4,0,0.0025,5,0.8,1.0,0.0,2.0,0.6832352473357722,0.7583882898599655,10670,4
depthwise,6,0,0.005,1,0.8,1.0,0.0,1.0,0.6835533640846191,0.7583574604655079,3998,6
lossguide,0,32,0.01,10,1.0,0.8,0.1,1.0,0.6844281851439479,0.7583302491288324,2607,32
depthwise,6,0,0.005,10,0.8,1.0,0.0,2.0,0.6830761889613488,0.7583207612150683,4017,6
depthwise,6,0,0.005,1,0.8,1.0,0.1,2.0,0.6830761889613488,0.7583127534158514,3996,6
lossguide,0,32,0.005,1,0.8,1.0,0.0,2.0,0.6833943057101957,0.7582965480591422,4163,32
lossguide,0,32,0.01,5,1.0,0.8,0.0,2.0,0.6842691267695244,0.7582924492803962,2757,32
lossguide,0,32,0.01,10,1.0,0.8,0.1,2.0,0.6845077143311595,0.7582830119688388,1994,32
lossguide,0,32,0.005,10,1.0,0.8,0.0,2.0,0.684110068395101,0.758279621620987,4568,32
depthwise,6,0,0.0025,10,0.8,0.8,0.1,1.0,0.6829966597741371,0.7582719300855623,7390,6
lossguide,0,32,0.01,5,1.0,0.8,0.1,2.0,0.6841895975823127,0.7582591530283599,2156,32
lossguide,0,32,0.005,10,1.0,0.8,0.1,1.0,0.6844281851439479,0.7582520181172092,4609,32
lossguide,0,32,0.01,5,0.8,1.0,0.1,1.0,0.6826785430252903,0.7582383934730439,2136,32
depthwise,6,0,0.0025,10,0.8,0.8,0.0,1.0,0.6821218387148084,0.7582364073364294,7423,6
depthwise,6,0,0.005,10,0.8,1.0,0.0,1.0,0.6831557181485606,0.7582012514532954,3998,6
lossguide,0,64,0.0025,10,0.8,0.8,0.0,2.0,0.6829171305869254,0.758191738238428,6870,64
depthwise,6,0,0.01,5,0.8,1.0,0.1,2.0,0.6828376013997137,0.758180074429774,2124,6
depthwise,6,0,0.005,1,0.8,1.0,0.0,2.0,0.6833147765229839,0.7581724587976593,3997,6
depthwise,6,0,0.005,10,0.8,1.0,0.1,2.0,0.6812470176554796,0.7581700804939422,4014,6
lossguide,0,32,0.0025,10,1.0,0.8,0.0,2.0,0.6845872435183712,0.758158062469841,8173,32
lossguide,0,32,0.005,5,0.8,1.0,0.0,2.0,0.6847463018927946,0.7581384035125218,3722,32
lossguide,0,64,0.0025,1,0.8,0.8,0.1,2.0,0.6825990138380785,0.7581257529608363,7324,64
lossguide,0,32,0.005,1,0.8,1.0,0.0,1.0,0.6829966597741371,0.758116669864726,4220,32
lossguide,0,32,0.01,5,1.0,0.8,0.1,1.0,0.6839510100206776,0.758105132561589,2545,32
lossguide,0,32,0.005,1,0.8,0.8,0.0,1.0,0.6824399554636552,0.7581050566582788,3498,32
depthwise,6,0,0.01,1,1.0,0.8,0.1,2.0,0.6825194846508669,0.7581045506362114,2575,6
lossguide,0,64,0.0025,5,0.8,0.8,0.1,2.0,0.6828376013997137,0.7580905211743921,6579,64
lossguide,0,32,0.01,10,1.0,0.8,0.0,2.0,0.6828376013997137,0.7580894079258439,2318,32
depthwise,6,0,0.005,1,0.8,1.0,0.1,1.0,0.6837919516462542,0.7580766435191932,3998,6
lossguide,0,64,0.0025,10,0.8,0.8,0.1,2.0,0.6824399554636552,0.7580751760551976,6599,64
lossguide,0,32,0.0025,10,0.8,1.0,0.0,2.0,0.6832352473357722,0.758065473082055,6578,32
lossguide,0,32,0.005,1,1.0,0.8,0.1,1.0,0.6829966597741371,0.7580533791546435,4541,32
depthwise,6,0,0.005,5,0.8,1.0,0.0,2.0,0.6825194846508669,0.7580396027038582,4003,6
lossguide,0,32,0.0025,10,0.8,1.0,0.1,2.0,0.6835533640846191,0.7580369587385558,6578,32
lossguide,0,64,0.0025,5,0.8,0.8,0.0,2.0,0.682758072212502,0.7580349979030445,6603,64
lossguide,0,64,0.005,10,0.8,0.8,0.1,2.0,0.6833147765229839,0.7580320756256053,3395,64
lossguide,0,64,0.01,5,0.8,0.8,0.0,2.0,0.6845872435183712,0.7580245358968006,2082,64
lossguide,0,64,0.005,10,0.8,0.8,0.0,2.0,0.6838714808334658,0.7580132895563523,3326,64
lossguide,0,32,0.005,1,1.0,0.8,0.0,2.0,0.6848258310800064,0.7580095702941567,4081,32
lossguide,0,32,0.0025,5,0.8,1.0,0.0,2.0,0.6828376013997137,0.7580072046409916,6578,32
depthwise,6,0,0.005,5,0.8,1.0,0.1,2.0,0.6820423095275966,0.7580029161039701,4014,6
depthwise,6,0,0.005,5,0.8,1.0,0.0,1.0,0.6820423095275966,0.7579881529101531,4004,6
lossguide,0,64,0.005,5,0.8,0.8,0.0,2.0,0.6837919516462542,0.7579835860609947,3364,64
